iter	RMSE
265	0.7830596837
266	0.7829827553
267	0.7829241231
268	0.7829166197
269	0.7828784353
270	0.7828392402
271	0.7827464906
272	0.7827238589
273	0.7827055865
274	0.7826825389
275	0.7826758716
276	0.7826075864
277	0.7825669923
278	0.7825280403
279	0.7824809366
280	0.7824472427
281	0.7824369023
282	0.782362056
283	0.7822859566
284	0.7822732407
285	0.7822316014
286	0.7822160992
287	0.7821889046
288	0.7821710614
289	0.7821225085
290	0.7821076856
291	0.7820964741
292	0.782048942
293	0.7820305552
294	0.7819602611
295	0.7819433714
296	0.7818941486
297	0.7818799815
298	0.7818457137
299	0.7817937642
300	0.7817498467
301	0.7816766688
302	0.7816719124
303	0.7816145501
304	0.7816044572
305	0.7815917204
306	0.781540091
307	0.7814993283
308	0.7814621054
309	0.7814448144
310	0.7814317973
311	0.7813940101
312	0.7813517903
313	0.7813056912
314	0.7812902832
315	0.7812815242
316	0.7812199213
317	0.7812117014
318	0.7811869991
319	0.7811750929
320	0.7811398178
321	0.7811191681
322	0.78106756
323	0.7810491278
324	0.7810244575
325	0.7810107421
326	0.7809694741
327	0.7809146991
328	0.7809049384
329	0.7808578034
330	0.7808341402
331	0.7808222572
332	0.7807584028
333	0.780742288
334	0.7806871647
335	0.7806397265
336	0.7806079853
337	0.7805869576
338	0.7805541868
339	0.7805013307
340	0.7804375061
341	0.7803774389
342	0.7803258001
343	0.7803032706
344	0.7802917145
345	0.7802732788
346	0.7802274225
347	0.7802141402
348	0.7802027954
349	0.7801734862
350	0.7801551222
351	0.7801077103
352	0.7800637293
353	0.7800342765
354	0.7800219087
355	0.7799854093
356	0.7799817503
357	0.7799594824
358	0.7799413644
359	0.7798923735
360	0.7798516374
361	0.7798244612
362	0.7797638356
363	0.7797319612
364	0.7796834715
365	0.7796687901
366	0.7796273167
367	0.7795657067
368	0.7795215761
369	0.7794741229
370	0.7794427419
371	0.7794290634
372	0.7794104512
373	0.779377572
374	0.7793544785
375	0.7793380227
376	0.7793046545
377	0.7792805404
378	0.7792682719
379	0.7792589266
380	0.7792225017
381	0.7791866443
382	0.779161791
383	0.7791410952
384	0.7791371102
385	0.7791190412
386	0.7791018821
387	0.7790526914
388	0.7789779867
389	0.7789496389
390	0.778905939
391	0.7788952783
392	0.7788771649
393	0.7788456692
394	0.7788305996
395	0.7788184219
396	0.7788016668
397	0.778775527
398	0.7787659793
399	0.7787549559
400	0.7787236631
401	0.778700019
402	0.7786679028
403	0.7786423591
404	0.7786338887
405	0.7786144357
406	0.7785886002
407	0.7785720383
408	0.7785229285
409	0.7785120976
410	0.7785040249
411	0.7784848079
412	0.7784702786
413	0.7784595361
414	0.7784206324
415	0.7784031184
416	0.7783610221
417	0.7783462434
418	0.778302289
419	0.7782586424
420	0.7782100226
421	0.7782027323
422	0.7781911599
423	0.7781619784
424	0.7781477357
425	0.7781260597
426	0.7780971994
427	0.7780908184
428	0.7780547939
429	0.7780496591
430	0.7780267375
431	0.7779705072
432	0.7779539337
433	0.7779414261
434	0.7779219036
435	0.7778795895
436	0.7778592675
437	0.7778149233
438	0.7778077848
439	0.7777612049
440	0.7777471233
441	0.7777214612
442	0.777678387
443	0.7776420941
444	0.7776210786
445	0.7776131487
446	0.777608251
447	0.7775904289
448	0.77758114
449	0.7775586931
450	0.7775121133
451	0.7774872374
452	0.777456815
453	0.777444408
454	0.7774293367
455	0.7774011168
456	0.7773949832
457	0.7773714625
458	0.7773241074
459	0.7772921014
460	0.7772748498
461	0.7772411266
462	0.7772181657
463	0.7771774139
464	0.7771571271
465	0.7771362397
466	0.7771189325
467	0.7771117922
468	0.777101752
469	0.7770566007
470	0.7770310198
471	0.7769892361
472	0.7769740539
473	0.7769470476
474	0.7769162352
475	0.7769005943
476	0.7768920588
477	0.7768502848
478	0.7768271789
479	0.7768148654
480	0.7768004305
481	0.7767732662
482	0.7767318189
483	0.7767164723
484	0.7766755565
485	0.7766595017
486	0.7766353717
487	0.7766173389
488	0.7765996742
489	0.7765917395
490	0.7765661976
491	0.7765600414
492	0.7765215852
493	0.7765082109
494	0.7764875333
495	0.7764766941
496	0.7764723864
497	0.7764676508
498	0.7764597114
499	0.7764294129
